oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.05,SVM,0.978,0.0,0.0,0.008,0.0,0.496,0.0,0.707
WFO,0.05,KNN,0.964,0.0,0.0,0.022,0.0,0.489,0.0,0.707
WFO,0.05,LR,0.762,0.033,0.571,0.235,0.063,0.668,0.654,0.346
WFO,0.05,DT,0.972,0.267,0.571,0.022,0.364,0.775,0.721,0.303
WFO,0.05,RF,0.988,1.0,0.143,0.0,0.25,0.571,0.25,0.606
WFO,0.05,LightGBM,0.97,0.25,0.571,0.024,0.348,0.774,0.721,0.304
WFO,0.05,Adaboost,0.976,0.222,0.286,0.014,0.25,0.636,0.443,0.505
WFO,0.05,GBDT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
WFO2,0.11,SVM,0.606,0.015,0.429,0.391,0.03,0.519,0.503,0.49
WFO2,0.11,KNN,0.752,0.032,0.571,0.245,0.061,0.663,0.65,0.349
WFO2,0.11,LR,0.644,0.022,0.571,0.355,0.043,0.608,0.606,0.393
WFO2,0.11,DT,0.976,0.308,0.571,0.018,0.4,0.777,0.722,0.303
WFO2,0.11,RF,0.98,0.333,0.429,0.012,0.375,0.708,0.598,0.404
WFO2,0.11,LightGBM,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
WFO2,0.11,Adaboost,0.97,0.1,0.143,0.018,0.118,0.562,0.249,0.606
WFO2,0.11,GBDT,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
