oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.05,SVM,0.978,0.0,0.0,0.008,0.0,0.496,0.0,0.707
WFO,0.05,KNN,0.964,0.0,0.0,0.022,0.0,0.489,0.0,0.707
WFO,0.05,LR,0.762,0.033,0.571,0.235,0.063,0.668,0.654,0.346
WFO,0.05,DT,0.972,0.267,0.571,0.022,0.364,0.775,0.721,0.303
WFO,0.05,RF,0.988,1.0,0.143,0.0,0.25,0.571,0.25,0.606
WFO,0.05,LightGBM,0.97,0.25,0.571,0.024,0.348,0.774,0.721,0.304
WFO,0.05,Adaboost,0.976,0.222,0.286,0.014,0.25,0.636,0.443,0.505
WFO,0.05,GBDT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
WFO2,0.11,SVM,0.62,0.016,0.429,0.377,0.031,0.526,0.508,0.484
WFO2,0.11,KNN,0.734,0.023,0.429,0.262,0.043,0.583,0.542,0.444
WFO2,0.11,LR,0.638,0.022,0.571,0.361,0.042,0.605,0.603,0.396
WFO2,0.11,DT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
WFO2,0.11,RF,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
WFO2,0.11,LightGBM,0.986,0.5,0.286,0.004,0.364,0.641,0.444,0.505
WFO2,0.11,Adaboost,0.984,0.333,0.143,0.004,0.2,0.569,0.25,0.606
WFO2,0.11,GBDT,0.982,0.25,0.143,0.006,0.182,0.568,0.25,0.606
